pair of coins,csv link
 BTC/USD,https://www.cryptodatadownload.com/cdd/Binance_BTCUSDT_d.csv
 ETH/USD,https://www.cryptodatadownload.com/cdd/Binance_ETHUSDT_d.csv
 LTC/USD,https://www.cryptodatadownload.com/cdd/Binance_LTCUSDT_d.csv
 DOGE/USD,https://www.cryptodatadownload.com/cdd/Binance_DOGEUSDT_d.csv
 NEO/USD,https://www.cryptodatadownload.com/cdd/Binance_NEOUSDT_d.csv
 BNB/USD,https://www.cryptodatadownload.com/cdd/Binance_BNBUSDT_d.csv
 XRP/USD,https://www.cryptodatadownload.com/cdd/Binance_XRPUSDT_d.csv
 LINK/USD,https://www.cryptodatadownload.com/cdd/Binance_LINKUSDT_d.csv
 EOS/USD,https://www.cryptodatadownload.com/cdd/Binance_EOSUSDT_d.csv
 TRX/USD,https://www.cryptodatadownload.com/cdd/Binance_TRXUSDT_d.csv
 ETC/USD,https://www.cryptodatadownload.com/cdd/Binance_ETCUSDT_d.csv
 XLM/USD,https://www.cryptodatadownload.com/cdd/Binance_XLMUSDT_d.csv
 ZEC/USD,https://www.cryptodatadownload.com/cdd/Binance_ZECUSDT_d.csv
 ADA/USD,https://www.cryptodatadownload.com/cdd/Binance_ADAUSDT_d.csv
 QTUM/USD,https://www.cryptodatadownload.com/cdd/Binance_QTUMUSDT_d.csv
 DASH/USD,https://www.cryptodatadownload.com/cdd/Binance_DASHUSDT_d.csv
 XMR/USD,https://www.cryptodatadownload.com/cdd/Binance_XMRUSDT_d.csv
 BTT/USD,https://www.cryptodatadownload.com/cdd/Binance_BTTUSDT_d.csv
 ADA/BTC,https://www.cryptodatadownload.com/cdd/Binance_ADABTC_d.csv
 AST/BTC,https://www.cryptodatadownload.com/cdd/Binance_ASTBTC_d.csv
 BTG/BTC,https://www.cryptodatadownload.com/cdd/Binance_BTGBTC_d.csv
 DASH/BTC,https://www.cryptodatadownload.com/cdd/Binance_DASHBTC_d.csv
 EOS/BTC,https://www.cryptodatadownload.com/cdd/Binance_EOSBTC_d.csv
 ETC/BTC,https://www.cryptodatadownload.com/cdd/Binance_ETCBTC_d.csv
 ETH/BTC,https://www.cryptodatadownload.com/cdd/Binance_ETHBTC_d.csv
 IOTA/BTC,https://www.cryptodatadownload.com/cdd/Binance_IOTABTC_d.csv
 LTC/BTC,https://www.cryptodatadownload.com/cdd/Binance_LTCBTC_d.csv
 NEO/BTC,https://www.cryptodatadownload.com/cdd/Binance_NEOBTC_d.csv
 STRAT/BTC,https://www.cryptodatadownload.com/cdd/Binance_STRATBTC_d.csv
 XMR/BTC,https://www.cryptodatadownload.com/cdd/Bithumb_XMRBTC_d.csv
 XLM/BTC,https://www.cryptodatadownload.com/cdd/Binance_XLMBTC_d.csv
 XRP/BTC,https://www.cryptodatadownload.com/cdd/Binance_XRPBTC_d.csv
 XLM/ETH,https://www.cryptodatadownload.com/cdd/Binance_XLMETH_d.csv
 XMR/ETH,https://www.cryptodatadownload.com/cdd/Binance_XMRETH_d.csv
 XRP/ETH,https://www.cryptodatadownload.com/cdd/Binance_XRPETH_d.csv
 NEO/ETH,https://www.cryptodatadownload.com/cdd/Binance_NEOETH_d.csv
 LSK/ETH,https://www.cryptodatadownload.com/cdd/Binance_LSKETH_d.csv
 IOTA/ETH,https://www.cryptodatadownload.com/cdd/Binance_IOTAETH_d.csv
 ETC/ETH,https://www.cryptodatadownload.com/cdd/Binance_ETCETH_d.csv
 DASH/ETH,https://www.cryptodatadownload.com/cdd/Binance_DASHETH_d.csv
 BTG/ETH,https://www.cryptodatadownload.com/cdd/Binance_BTGETH_d.csv
